"Transect","Zone","Species","Relative Importance"
"Seaward","0-20m","Avicennia marina",0.57221345550434
"Seaward","0-20m","Rhizophora stylosa",0.570382059327547
"Seaward","20-40m","Avicennia marina",0.330092355303537
"Seaward","20-40m","Rhizophora stylosa",0.834953822348232
"Seaward","40-60m","Avicennia marina",0.440249291697153
"Seaward","40-60m","Rhizophora stylosa",0.669813031227135
"Seaward","60-80m","Avicennia marina",0.530781797556667
"Seaward","60-80m","Lumnitzera racemosa",0.161236424394319
"Seaward","60-80m","Rhizophora stylosa",0.450294095672786
"Seaward","80-100m","Avicennia marina",0.537599754450583
"Seaward","80-100m","Rhizophora stylosa",0.462400245549417
"Landward-Creek","0-20m","Avicennia marina",0.48314848488976
"Landward-Creek","0-20m","Ceriops australis",0.30206568277578
"Landward-Creek","0-20m","Rhizophora stylosa",0.12818277578003
"Landward-Creek","20-40m","Avicennia marina",0.175699853506761
"Landward-Creek","20-40m","Ceriops australis",0.537893093709234
"Landward-Creek","20-40m","Osbornia octodonta",0.286407052784005
"Landward-Creek","40-60m","Ceriops australis",0.580610997540525
"Landward-Creek","40-60m","Osbornia octodonta",0.325258464672221
"Landward-Creek","60-80m","Avicennia marina",0.230296335572051
"Landward-Creek","60-80m","Ceriops australis",0.59329562860846
"Landward-Creek","80-100m","Avicennia marina",0.453623358994152
"Landward-Creek","80-100m","Ceriops australis",0.392604576258174
"Seaward","60-80m","Ceriops australis",0.364754098360656
"Landward-Creek","0-20m","Aegialitis annulata",0.301388888888889
"Landward-Creek","40-60m","Avicennia marina",0.188261075574508
"Landward-Creek","60-80m","Osbornia octodonta",0.352816071638977
"Landward-Creek","80-100m","Aegialitis annulata",0.163660001464879
"Landward-Creek","80-100m","Osbornia octodonta",0.143884128030469
