"Transect","Zone","Species","Relative Importance"
"Landward-Creek","0-20m","Ceriops australis",0.493929031017362
"Landward-Creek","20-40m","Avicennia marina",0.24582849692431
"Landward-Creek","20-40m","Ceriops australis",0.417525733018266
"Landward-Creek","20-40m","Osbornia octodonta",0.337189422198192
"Landward-Creek","40-60m","Avicennia marina",0.215106654090473
"Landward-Creek","40-60m","Ceriops australis",0.541668370614864
"Landward-Creek","40-60m","Osbornia octodonta",0.290526732011906
"Landward-Creek","60-80m","Aegialitis annulata",0.119472789115646
"Landward-Creek","60-80m","Avicennia marina",0.347573249887832
"Landward-Creek","60-80m","Ceriops australis",0.606990430659898
"Landward-Creek","60-80m","Osbornia octodonta",0.227641029016767
"Landward-Creek","80-100m","Aegialitis annulata",0.239052222954661
"Landward-Creek","80-100m","Ceriops australis",0.445663304519173
"Landward-Creek","80-100m","Osbornia octodonta",0.289810301685267
"Landward-Creek","0-20m","Avicennia marina",0.504177842973102
"Landward-Creek","20-40m","Lumnitzera racemosa",0.243110236220472
"Landward-Creek","40-60m","Lumnitzera racemosa",0.408811178685201
"Landward-Creek","80-100m","Lumnitzera racemosa",0.516901408450704
"Seaward","0-20m","Avicennia marina",0.601506241058961
"Seaward","0-20m","Rhizophora stylosa",0.631576052097879
"Seaward","20-40m","Aegiceras corniculatum",0.17026642026642
"Seaward","20-40m","Lumnitzera racemosa",0.255505505505505
"Seaward","20-40m","Rhizophora stylosa",0.829379786350187
"Seaward","40-60m","Avicennia marina",0.417862252447884
"Seaward","40-60m","Rhizophora stylosa",0.634370529108102
"Seaward","60-80m","Aegialitis annulata",0.276660370601419
"Seaward","60-80m","Aegiceras corniculatum",0.198972990457707
"Seaward","60-80m","Avicennia marina",0.522156609611211
"Seaward","60-80m","Rhizophora stylosa",0.36328479505569
"Landward-Creek","0-20m","Aegialitis annulata",0.25707519758252
"Landward-Creek","0-20m","Osbornia octodonta",0.375488145048815
"Seaward","20-40m","Avicennia marina",0.313063261142193
"Seaward","60-80m","Lumnitzera racemosa",0.161236424394319
"Seaward","80-100m","Avicennia marina",0.537599754450583
"Seaward","80-100m","Rhizophora stylosa",0.462400245549417
"Landward-Creek","0-20m","Rhizophora stylosa",0.12818277578003
"Landward-Creek","80-100m","Avicennia marina",0.453623358994152
"Seaward","60-80m","Ceriops australis",0.364754098360656
