"Transect","Zone","Species","Relative Importance"
"Landward-Creek","0-20m","Ceriops australis",0.532520383727124
"Landward-Creek","20-40m","Avicennia marina",0.293982421290613
"Landward-Creek","20-40m","Ceriops australis",0.492863436747897
"Landward-Creek","20-40m","Osbornia octodonta",0.349066915247986
"Landward-Creek","40-60m","Avicennia marina",0.505993062050191
"Landward-Creek","40-60m","Ceriops australis",0.480989359075636
"Landward-Creek","40-60m","Osbornia octodonta",0.331533095887366
"Landward-Creek","60-80m","Aegialitis annulata",0.213592367362209
"Landward-Creek","60-80m","Avicennia marina",0.381078673751727
"Landward-Creek","60-80m","Ceriops australis",0.44762364706937
"Landward-Creek","60-80m","Osbornia octodonta",0.264590064746434
"Landward-Creek","80-100m","Aegialitis annulata",0.211436390398765
"Landward-Creek","80-100m","Ceriops australis",0.521711719755532
"Landward-Creek","80-100m","Osbornia octodonta",0.33022869282624
"Landward-Creek","0-20m","Avicennia marina",0.38324283163658
"Landward-Creek","20-40m","Lumnitzera racemosa",0.243110236220472
"Landward-Creek","40-60m","Lumnitzera racemosa",0.408811178685201
"Landward-Creek","80-100m","Lumnitzera racemosa",0.516901408450704
"Seaward","0-20m","Avicennia marina",0.566696586759803
"Seaward","0-20m","Rhizophora stylosa",0.636078697676881
"Seaward","20-40m","Aegiceras corniculatum",0.17026642026642
"Seaward","20-40m","Lumnitzera racemosa",0.255505505505505
"Seaward","20-40m","Rhizophora stylosa",0.764816535843366
"Seaward","40-60m","Avicennia marina",0.483413005396154
"Seaward","40-60m","Rhizophora stylosa",0.58956269141284
"Seaward","60-80m","Aegialitis annulata",0.276660370601419
"Seaward","60-80m","Aegiceras corniculatum",0.198972990457707
"Seaward","60-80m","Avicennia marina",0.541432207040901
"Seaward","60-80m","Rhizophora stylosa",0.369741257356193
"Landward-Creek","0-20m","Aegialitis annulata",0.350823854349417
"Landward-Creek","0-20m","Osbornia octodonta",0.354931343282789
"Seaward","40-60m","Ceriops australis",0.166129032258064
"Seaward","40-60m","Lumnitzera racemosa",0.123118279569892
"Seaward","80-100m","Avicennia marina",0.677544289011121
"Seaward","80-100m","Rhizophora stylosa",0.483683566483318
"Seaward","20-40m","Avicennia marina",0.443140005225369
"Landward-Creek","80-100m","Avicennia marina",0.389283848135339
"Seaward","60-80m","Lumnitzera racemosa",0.161236424394319
"Landward-Creek","0-20m","Rhizophora stylosa",0.12818277578003
"Seaward","60-80m","Ceriops australis",0.364754098360656
"Seaward","40-60m","Aegialitis annulata",0.17250593824228
"Seaward","60-80m","Osbornia octodonta",0.44327731092437
"Landward-Creek","40-60m","Rhizophora stylosa",0.219225589225589
"Landward-Creek","0-20m","Aegiceras corniculatum",0.298611111111111
"Landward-Creek","40-60m","Aegialitis annulata",0.392857142857143
"Landward-Creek","60-80m","Lumnitzera racemosa",0.208333333333333
