"Transect","Zone","Species","Relative Importance"
"Landward-Creek","0-20m","Ceriops australis",0.493929031017362
"Landward-Creek","20-40m","Avicennia marina",0.24582849692431
"Landward-Creek","20-40m","Ceriops australis",0.419070707533638
"Landward-Creek","20-40m","Osbornia octodonta",0.376525255146744
"Landward-Creek","40-60m","Avicennia marina",0.252442578680547
"Landward-Creek","40-60m","Ceriops australis",0.503145422167998
"Landward-Creek","40-60m","Osbornia octodonta",0.302498092044195
"Landward-Creek","60-80m","Aegialitis annulata",0.175547281202043
"Landward-Creek","60-80m","Avicennia marina",0.348307384047939
"Landward-Creek","60-80m","Ceriops australis",0.534140921921034
"Landward-Creek","60-80m","Osbornia octodonta",0.234174328610006
"Landward-Creek","80-100m","Aegialitis annulata",0.211436390398765
"Landward-Creek","80-100m","Ceriops australis",0.419460866994553
"Landward-Creek","80-100m","Osbornia octodonta",0.302881659173791
"Landward-Creek","0-20m","Avicennia marina",0.493553090259023
"Landward-Creek","20-40m","Lumnitzera racemosa",0.243110236220472
"Landward-Creek","40-60m","Lumnitzera racemosa",0.408811178685201
"Landward-Creek","80-100m","Lumnitzera racemosa",0.516901408450704
"Seaward","0-20m","Avicennia marina",0.58452108592659
"Seaward","0-20m","Rhizophora stylosa",0.66547891407341
"Seaward","20-40m","Aegiceras corniculatum",0.17026642026642
"Seaward","20-40m","Lumnitzera racemosa",0.255505505505505
"Seaward","20-40m","Rhizophora stylosa",0.863503829080149
"Seaward","40-60m","Avicennia marina",0.400844524655339
"Seaward","40-60m","Rhizophora stylosa",0.650399649092933
"Seaward","60-80m","Aegialitis annulata",0.276660370601419
"Seaward","60-80m","Aegiceras corniculatum",0.198972990457707
"Seaward","60-80m","Avicennia marina",0.517842912247002
"Seaward","60-80m","Rhizophora stylosa",0.385196491000115
"Landward-Creek","0-20m","Aegialitis annulata",0.350823854349417
"Landward-Creek","0-20m","Osbornia octodonta",0.375488145048815
"Seaward","40-60m","Ceriops australis",0.166129032258064
"Seaward","40-60m","Lumnitzera racemosa",0.123118279569892
"Seaward","80-100m","Avicennia marina",0.677544289011121
"Seaward","80-100m","Rhizophora stylosa",0.483683566483318
"Landward-Creek","80-100m","Avicennia marina",0.37349919389684
"Seaward","20-40m","Avicennia marina",0.313063261142193
"Seaward","60-80m","Lumnitzera racemosa",0.161236424394319
"Landward-Creek","0-20m","Rhizophora stylosa",0.12818277578003
"Seaward","60-80m","Ceriops australis",0.364754098360656
