"Date","Time","group","Transect","Zone","Points within Zone","distance on tape","Latitude","Longitude","quarter","species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"3/07/2015","12:18:05 PM","one","","","","","","","","","","","",""
"3/07/2015","12:18:10 PM","one","","","","","-25.44794725","152.98742581","","","","","",""
"3/07/2015","12:19:10 PM","one","Seaward","0-20m","Point 1","6","-25.4479515","152.98743481","","","","","",""
"3/07/2015","12:24:12 PM","one","Seaward","0-20m","Point 1","6","","","quarter 1","Rhizophora stylosa","1.2","1.5","12",""
"3/07/2015","12:25:17 PM","one","Seaward","0-20m","Point 1","6","","","quarter 2","Rhizophora stylosa","1.7","2.2","11",""
"3/07/2015","12:28:02 PM","one","Seaward","0-20m","Point 1","6","","","quarter 3","Rhizophora stylosa","2.8","1.1","14",""
"3/07/2015","12:29:13 PM","one","Seaward","0-20m","Point 1","6","","","quarter 4","Rhizophora stylosa","3.1","1.5","14",""
"3/07/2015","12:30:57 PM","one","Seaward","0-20m","Point 2","17","-25.44798397","152.98751286","to next Transect point","","","","",""
"3/07/2015","12:32:32 PM","one","Seaward","0-20m","Point 2","17","","","quarter 1","Rhizophora stylosa","1.4","2.2","16",""
"3/07/2015","12:35:25 PM","one","Seaward","0-20m","Point 2","17","","","quarter 2","Avicennia marina","5","5.5","135",""
"3/07/2015","12:36:18 PM","one","Seaward","0-20m","Point 2","17","","","quarter 3","Rhizophora stylosa","3.3","1.5","8.5",""
"3/07/2015","12:37:32 PM","one","Seaward","0-20m","Point 2","17","","","quarter 4","Avicennia marina","1.5","5.8","102",""
"3/07/2015","12:41:45 PM","one","Seaward","20-40m","Point 1","1.9","-25.44800134","152.98759546","to next Transect point","","","","",""
"3/07/2015","12:42:43 PM","one","Seaward","20-40m","Point 1","27","-25.44799876","152.98759843","to next Transect point","","","","",""
"3/07/2015","12:43:39 PM","one","Seaward","20-40m","Point 1","27","","","quarter 1","Rhizophora stylosa","1.9","2.5","21",""
"3/07/2015","12:44:25 PM","one","Seaward","20-40m","Point 1","27","","","quarter 2","Rhizophora stylosa","1.9","2","16",""
"3/07/2015","12:45:38 PM","one","Seaward","20-40m","Point 1","27","","","quarter 3","Avicennia marina","1.7","2.7","45",""
